sample	C1	C2	C3	C4	C5	Confidence	PredictedCluster
DLBCL11572	0.004164102527410695	0.007045971910734521	0.9735777598472865	0.011075069590709094	0.004137096123859231	0.9735777598472865	C3
DLBCL_RICOVER_99	0.08297911558031675	0.031134010682636923	0.009259404475244596	0.020034952281397695	0.8565925169804041	0.8565925169804041	C5
DLBCL_C_D_1132_NULLPAIR	0.19104216987897732	0.013594161342297214	0.04469871159157279	0.6081263400720509	0.14253861711510177	0.6081263400720509	C4
DLBCL_LS4085	0.0145214061145994	0.06814529793494344	0.09218787617242725	0.05382223615031954	0.7713231836277104	0.7713231836277104	C5
DLBCL_RICOVER_224	0.010460433866995725	0.14867211566669974	0.017776563182909735	0.024433071106694113	0.7986578161767007	0.7986578161767007	C5
DLBCL_RICOVER_585	0.027410880819478785	0.024707063552819694	0.0056492578122054075	0.013689136480032548	0.9285436613354636	0.9285436613354636	C5
DLBCL_RICOVER_126	0.009936340262278007	0.8871425608395013	0.080076099363674	0.009770136864795309	0.013074862669751454	0.8871425608395013	C2
DLBCL10481	0.01141292356480006	0.01148788285698782	0.9183111743743484	0.05050469162027389	0.00828332758358983	0.9183111743743484	C3
DLBCL_C_D_1104_NULLPAIR	0.027340503090913633	0.30601877154603324	0.04452628454831156	0.015835651556243398	0.6062787892584982	0.6062787892584982	C5
DLBCL_RICOVER_1144	0.9692401830810394	0.0030789144338530462	0.003940456519953455	0.015133304828899453	0.008607141136254638	0.9692401830810394	C1
DLBCL_LS1899	0.04767719370588217	0.11053674557095346	0.22334068982542948	0.5901234391532579	0.02832193174447688	0.5901234391532579	C4
DLBCL10524	0.14561075643999194	0.5021577213107089	0.061134153578641985	0.21837333311115995	0.07272403555949716	0.5021577213107089	C2
DLBCL11530	0.02234165672674302	0.5001451722061807	0.4247623655600946	0.027057149522504605	0.025693655984477044	0.5001451722061807	C2
DLBCL_LS148	0.016522141644193578	0.07253288445398222	0.10522716284529125	0.09001960512673511	0.7156982059297978	0.7156982059297978	C5
DLBCL11585	0.004244668843041079	0.004946468795052761	0.9758511188222567	0.011126271762623612	0.003831471777025865	0.9758511188222567	C3
DLBCL11532	0.011739400949856527	0.006680708038001119	0.9605855199457382	0.01696774787227489	0.004026623194129343	0.9605855199457382	C3
DLBCL_LS2596	0.002564485346702514	0.0033034865851314897	0.001919746642801643	0.002914402687285232	0.9892978787380792	0.9892978787380792	C5
DLBCL11577	0.04029854710187143	0.8836357305470964	0.023824041005871332	0.043169546928338895	0.009072134416821857	0.8836357305470964	C2
DLBCL_RICOVER_597	0.019580337863175697	0.016663677752980728	0.017424562315389386	0.10985762924290182	0.8364737928255523	0.8364737928255523	C5
DLBCL10499	0.003352777751500493	0.0038221086245315413	0.0029985404745905882	0.005739769220839292	0.9840868039285381	0.9840868039285381	C5
DLBCL11503	0.02804987942259297	0.6757869596840469	0.027652902902159004	0.09636308933209668	0.17214716865910448	0.6757869596840469	C2
DLBCL_RICOVER_269	0.025570829171943435	0.11176431150614917	0.8069941824938802	0.02609538519746099	0.02957529163056624	0.8069941824938802	C3
DLBCL_RICOVER_148	0.040535510914658755	0.04347601186763348	0.0375764831074322	0.8493575095123387	0.029054484597936824	0.8493575095123387	C4
DLBCL_LS4323	0.07262303659089482	0.8398667243360304	0.019616610300927706	0.04386123187958998	0.02403239689255712	0.8398667243360304	C2
DLBCL10540	0.004108256567116936	0.004158880615819155	0.0050535214696335136	0.009021842231906552	0.9776574991155238	0.9776574991155238	C5
DLBCL_C_D_1145_NULLPAIR	0.16952790774435111	0.012624850958902431	0.1312968283704005	0.08181011099040877	0.6047403019359372	0.6047403019359372	C5
DLBCL10516	0.013697933578561795	0.011276633825159517	0.0488163941205976	0.05986707667539266	0.8663419618002884	0.8663419618002884	C5
DLBCL_C_D_1124_NULLPAIR	0.006273729083918636	0.003867664625873863	0.0044276526644794565	0.007215660364399615	0.9782152932613284	0.9782152932613284	C5
DLBCL_LS88	0.002023433752467617	0.9876243698167321	0.004902831083972755	0.0016889233178671908	0.0037604420289603555	0.9876243698167321	C2
DLBCL11453	0.03329512705641658	0.012368070059790572	0.02665507295933155	0.9043051025055219	0.023376627418939405	0.9043051025055219	C4
DLBCL10538	0.034717220690692434	0.2842875899119097	0.04072019818668809	0.25385996622723517	0.3864150249834746	0.3864150249834746	C5
DLBCL10933	0.014977351997896102	0.9049801472574854	0.02023965933272563	0.025528522868590177	0.034274318543302686	0.9049801472574854	C2
DLBCL_MC_F300_TBF	0.14432188115907696	0.014798234008798039	0.6518836465192878	0.1133500518413404	0.07564618647149683	0.6518836465192878	C3
DLBCL10531	0.0714012468392452	0.07769827494183631	0.0659527189339305	0.41209711332306054	0.37285064596192746	0.41209711332306054	C4
DLBCL11660	0.04661173100715141	0.014473923347310258	0.03384114319797484	0.7861923186153345	0.118880883832229	0.7861923186153345	C4
DLBCL_RICOVER_384	0.025823217572124454	0.09238208770245503	0.8470916763313991	0.024725907050595027	0.009977111343426274	0.8470916763313991	C3
